Date,District,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month,YearMonth
1981-06-02,Baitadi,29.5,80.5,0.56,73.72,7.51,50.48,15.43,4.87,21.8,9.27,12.53,16.44,2.48,5.51,0.5,5.01,2.5,5.03,0.66,4.37,1981,6,1981-06
1981-05-07,Baitadi,29.5,80.5,0.48,74.0,7.48,63.07,12.01,4.69,17.76,7.12,10.64,13.04,2.31,4.76,0.3,4.45,2.21,4.03,0.4,3.63,1981,5,1981-05
1981-07-13,Bajang,29.6,81.2,6.16,67.84,11.15,89.71,11.36,9.23,14.55,8.84,5.71,12.06,1.24,2.16,0.29,1.88,1.34,2.93,0.22,2.71,1981,7,1981-07
1981-02-03,Bajang,29.6,81.2,0.6,67.9,2.74,71.75,-5.17,-10.35,1.82,-11.37,13.19,-8.95,2.01,4.07,0.29,3.78,2.01,3.78,0.5,3.28,1981,2,1981-02
1981-01-16,Bajang,29.6,81.2,0.0,68.31,2.48,50.56,-1.74,-10.54,6.63,-7.84,14.47,-5.57,2.22,3.68,0.08,3.59,2.14,3.22,0.08,3.14,1981,1,1981-01
1981-11-06,Bajang,29.6,81.2,0.0,67.97,3.24,52.59,1.31,-7.92,8.72,-4.94,13.66,-0.84,2.32,4.45,0.44,4.02,2.36,4.04,0.55,3.49,1981,11,1981-11
1981-02-27,Bajang,29.6,81.2,0.11,67.8,3.69,69.16,-0.73,-5.88,5.07,-4.5,9.57,-0.77,2.5,6.22,0.6,5.62,2.58,5.86,0.9,4.96,1981,2,1981-02
1981-07-03,Bajang,29.6,81.2,5.79,67.55,10.57,75.97,13.03,8.13,19.33,7.61,11.72,14.57,2.82,6.34,0.54,5.8,2.7,5.43,0.85,4.58,1981,7,1981-07
1981-03-18,Bajang,29.6,81.2,0.08,67.85,3.7,51.28,3.48,-6.1,11.14,-3.67,14.81,2.48,2.59,5.51,0.43,5.08,2.46,4.82,0.66,4.16,1981,3,1981-03
1981-04-30,Bajang,29.6,81.2,0.0,68.15,5.25,56.16,7.27,-1.05,12.33,2.95,9.38,8.4,2.23,5.16,0.15,5.01,2.2,4.53,0.24,4.29,1981,4,1981-04
